aligned_x,step,time_min,convergence_DDP_1F1B,convergence_DiLoCo,convergence_ours,throughput_DDP_1F1B,throughput_DiLoCo,throughput_ours,ablation_no_error_feedback_no_grad_scaling,ablation_no_error_feedback,ablation_no_grad_scaling,ablation_ours
0,0,0.0000,10.5000,10.5000,10.5000,10.5000,10.5000,10.5000,10.5000,10.5000,10.5000,10.5000
1,1,0.8305,10.5000,10.5000,10.5000,10.5000,10.5000,10.4869,10.5000,10.5000,10.5000,10.4969
2,2,1.6610,10.5000,10.5000,10.5000,10.5000,10.5000,10.4751,10.5000,10.4860,10.5000,10.4945
3,3,2.4915,10.5000,10.4751,10.5000,10.5000,10.5000,10.4806,10.5000,10.5000,10.5000,10.4748
4,4,3.3220,10.5000,10.5000,10.4983,10.5000,10.4930,10.3955,10.5000,10.5000,10.5000,10.4830
5,5,4.1525,10.5000,10.5000,10.4849,10.5000,10.4183,10.4053,10.5000,10.5000,10.5000,10.4617
6,6,4.9830,10.5000,10.5000,10.4621,10.5000,10.4046,10.3869,10.5000,10.5000,10.5000,10.4328
7,7,5.8135,10.5000,10.4603,10.4430,10.5000,10.3352,10.2688,10.5000,10.5000,10.5000,10.4429
8,8,6.6440,10.4808,10.4766,10.4578,10.5000,10.3120,10.2142,10.5000,10.4600,10.5000,10.4049
9,9,7.4745,10.5000,10.4432,10.3632,10.4877,10.2930,10.1327,10.5000,10.4994,10.5000,10.3928
10,10,8.3050,10.4805,10.3940,10.3622,10.4499,10.1906,10.0511,10.5000,10.4457,10.5000,10.3879
11,11,9.1355,10.4644,10.3779,10.3248,10.4683,10.1843,9.9051,10.5000,10.3780,10.4795,10.3442
12,12,9.9660,10.4215,10.3535,10.3189,10.4789,10.0836,9.7779,10.5000,10.4042,10.4436,10.2985
13,13,10.7965,10.3904,10.3472,10.2650,10.3911,9.9512,9.5962,10.4473,10.3398,10.4986,10.2583
14,14,11.6270,10.4454,10.3695,10.2878,10.4075,9.8704,9.4234,10.4460,10.3643,10.4956,10.2306
15,15,12.4575,10.3706,10.2898,10.2133,10.3766,9.7310,9.1985,10.5000,10.3045,10.4617,10.2231
16,16,13.2880,10.3438,10.3090,10.1657,10.3747,9.5689,8.9417,10.4992,10.3091,10.4313,10.1891
17,17,14.1185,10.2740,10.2350,10.0831,10.2963,9.3984,8.6502,10.5000,10.2131,10.3468,10.1147
18,18,14.9490,10.2276,10.2122,10.0975,10.3028,9.2360,8.2697,10.4907,10.2449,10.4018,10.0634
19,19,15.7795,10.2435,10.1321,9.9739,10.2429,9.0205,7.8887,10.4465,10.2477,10.2822,9.9792
20,20,16.6100,10.2162,10.1473,9.9299,10.2267,8.7735,7.4604,10.3585,10.1490,10.2392,9.9595
21,21,17.4405,10.1220,10.0612,9.8605,10.1892,8.4842,7.0401,10.3095,10.1332,10.2829,9.8662
22,22,18.2710,10.1170,10.0078,9.7714,10.1618,8.2324,6.5424,10.2701,10.0177,10.1583,9.7735
23,23,19.1015,10.0221,9.9152,9.6923,10.0919,7.9249,6.0442,10.2551,10.0504,10.1528,9.7335
24,24,19.9320,10.0040,9.8801,9.5846,10.0696,7.5529,5.5835,10.2741,9.8487,10.1164,9.6358
25,25,20.7625,9.8970,9.7920,9.5090,10.0091,7.2022,5.0702,10.2921,9.8434,10.1238,9.4863
26,26,21.5930,9.8401,9.7850,9.4057,10.0067,6.8163,4.6212,10.2312,9.7197,10.0252,9.3808
